model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,JF,0.4348
fourcastnet,CHIRPS,3,JF,0.4178
fourcastnet,CHIRPS,5,JF,0.3745
fourcastnet,CHIRPS,7,JF,0.3376
gencast,CHIRPS,1,JF,0.5048
gencast,CHIRPS,3,JF,0.528
gencast,CHIRPS,5,JF,0.5141
gencast,CHIRPS,7,JF,0.4861
graphcast,CHIRPS,1,JF,0.3814
graphcast,CHIRPS,3,JF,0.2921
graphcast,CHIRPS,5,JF,0.1928
graphcast,CHIRPS,7,JF,0.0805
neuralgcm,CHIRPS,1,JF,0.4924
neuralgcm,CHIRPS,3,JF,0.4951
neuralgcm,CHIRPS,5,JF,0.5085
neuralgcm,CHIRPS,7,JF,0.5037
fourcastnet,TAMSAT,1,JF,0.4495
fourcastnet,TAMSAT,3,JF,0.4573
fourcastnet,TAMSAT,5,JF,0.4407
fourcastnet,TAMSAT,7,JF,0.4173
gencast,TAMSAT,1,JF,0.468
gencast,TAMSAT,3,JF,0.5298
gencast,TAMSAT,5,JF,0.5063
gencast,TAMSAT,7,JF,0.4843
graphcast,TAMSAT,1,JF,0.4056
graphcast,TAMSAT,3,JF,0.3402
graphcast,TAMSAT,5,JF,0.2802
graphcast,TAMSAT,7,JF,0.14
neuralgcm,TAMSAT,1,JF,0.5054
neuralgcm,TAMSAT,3,JF,0.4977
neuralgcm,TAMSAT,5,JF,0.5221
neuralgcm,TAMSAT,7,JF,0.4981
