model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,CHIRPS,1,1,JJAS,0.15078821379708376,0.3074291932800035,0.29141341758534456,0.015953857776879007,0.07803422914455728,0.21303195948243236
gencast,CHIRPS,1,5,JJAS,0.11410096223067176,0.14608028023860742,0.08513926699149776,0.016644032609309543,0.027275218467445798,0.12486818637043134
gencast,CHIRPS,1,10,JJAS,0.06505928490306444,0.06148123292202291,-0.12750314378469585,0.013261293146063845,0.005894107967072877,0.05778041984150084
gencast,CHIRPS,1,20,JJAS,0.015176276914381337,0.010610266848156772,-0.44765821832216157,0.004936572331140493,0.00023551000079559146,0.010501454319245263
gencast,CHIRPS,3,1,JJAS,0.1411303550983693,0.3074291932800035,0.3370771915155052,0.009950454938318825,0.08175866954370202,0.21303195948243236
gencast,CHIRPS,3,5,JJAS,0.10475230716934239,0.14608028023860742,0.16006715207422673,0.010103472129834964,0.030090767106823683,0.12486818637043134
gencast,CHIRPS,3,10,JJAS,0.05903351054322063,0.06148123292202291,-0.02315026716869273,0.007515535167971049,0.0061779030115210656,0.05778041984150084
gencast,CHIRPS,3,20,JJAS,0.01298325415832617,0.010610266848156772,-0.23836282674725218,0.002682860449276008,0.00017970411278356508,0.010501454319245263
gencast,CHIRPS,5,1,JJAS,0.14122797601291157,0.3074291932800035,0.336531606960945,0.00987659319975977,0.08156858085842165,0.21303195948243236
gencast,CHIRPS,5,5,JJAS,0.10545629924882959,0.14608028023860742,0.15428749179646506,0.011170505229234507,0.030436104509501908,0.12486818637043134
gencast,CHIRPS,5,10,JJAS,0.06066182253109563,0.06148123292202291,-0.05150838235242183,0.009397684956205866,0.006421508998526374,0.05778041984150084
gencast,CHIRPS,5,20,JJAS,0.013366660461157547,0.010610266848156772,-0.2750417335962021,0.0030706826210169713,0.00018234441977043033,0.010501454319245263
gencast,CHIRPS,7,1,JJAS,0.1404145297370041,0.3074291932800035,0.34056337161000216,0.008711120999526244,0.08126200338154878,0.21303195948243236
gencast,CHIRPS,7,5,JJAS,0.10488960787086275,0.14608028023860742,0.1590248131643287,0.010477625121286787,0.030334765129013206,0.12486818637043134
gencast,CHIRPS,7,10,JJAS,0.06031735583567434,0.06148123292202291,-0.04560679121013145,0.008797290820216196,0.00616211127647113,0.05778041984150084
gencast,CHIRPS,7,20,JJAS,0.013532662799638356,0.010610266848156772,-0.29174999706521665,0.003275308351539939,0.00021150908471962717,0.010501454319245263
gencast,ERA5,1,1,JJAS,0.08545508205969095,0.3034014722916293,0.5956627168746864,0.00424460024183029,0.13011606773989606,0.2113133220062625
gencast,ERA5,1,5,JJAS,0.06120366456487312,0.13865052212305556,0.48781397849226815,0.002322096274809969,0.060593210180271966,0.11945355499152757
gencast,ERA5,1,10,JJAS,0.04142065474829567,0.06462889688416969,0.3154837973673159,0.0020379152809562916,0.021127223089057037,0.060508045000723695
gencast,ERA5,1,20,JJAS,0.012688554652797113,0.01288304935568921,0.0029677225199111756,0.0017839833511828448,0.0018218293205431633,0.012752529627147204
gencast,ERA5,3,1,JJAS,0.09046602500525883,0.3034014722916293,0.5720890526305975,0.0012421505174063797,0.12213218871219347,0.2113133220062625
gencast,ERA5,3,5,JJAS,0.06568468945385814,0.13865052212305556,0.45037134021903114,0.0008067258765312652,0.05460518353199327,0.11945355499152757
gencast,ERA5,3,10,JJAS,0.04395789051407367,0.06462889688416969,0.2734764235116154,0.0009807112444710853,0.01752823498494888,0.060508045000723695
gencast,ERA5,3,20,JJAS,0.012835794445083905,0.01288304935568921,-0.00871982926530901,0.0011179802493995995,0.001006780368350082,0.012752529627147204
gencast,ERA5,5,1,JJAS,0.09838278915892101,0.3034014722916293,0.534734537615202,0.001845671483233056,0.1148422030181841,0.2113133220062625
gencast,ERA5,5,5,JJAS,0.07025377814626504,0.13865052212305556,0.41211117709266654,0.0015507717671484848,0.050778916922610495,0.11945355499152757
gencast,ERA5,5,10,JJAS,0.04645585972856684,0.06462889688416969,0.23210933336650752,0.001976174872475215,0.016020656860903825,0.060508045000723695
gencast,ERA5,5,20,JJAS,0.013327463721765893,0.01288304935568921,-0.0474607366865647,0.001530009389311647,0.0009247649385899987,0.012752529627147204
gencast,ERA5,7,1,JJAS,0.10144572186840828,0.3034014722916293,0.5201922929447658,0.0015462284991727938,0.11146979000338612,0.2113133220062625
gencast,ERA5,7,5,JJAS,0.07297916794988243,0.13865052212305556,0.3893478006494375,0.0015160448127979416,0.048025023728505846,0.11945355499152757
gencast,ERA5,7,10,JJAS,0.04816058013394201,0.06462889688416969,0.20398447450865675,0.0021730080828944957,0.014515709845913275,0.060508045000723695
gencast,ERA5,7,20,JJAS,0.013342824818226696,0.01288304935568921,-0.04891697299922382,0.0015728897291917435,0.0009490745817487839,0.012752529627147204
neuralgcm,CHIRPS,1,1,JJAS,0.16522370032452513,0.3074291932800035,0.22429524496628672,0.020073075841651338,0.06785513137941158,0.21303195948243236
neuralgcm,CHIRPS,1,5,JJAS,0.13257136681051018,0.14608028023860742,-0.06226899397470409,0.02782429222734884,0.020048875882616245,0.12486818637043134
neuralgcm,CHIRPS,1,10,JJAS,0.07005150308697325,0.06148123292202291,-0.21314271214951086,0.01457241043801099,0.0022569350438560896,0.05778041984150084
neuralgcm,CHIRPS,1,20,JJAS,0.011788607402972821,0.010610266848156772,-0.12276176663271099,0.001296058990657244,6.881906213981831e-06,0.010501454319245263
neuralgcm,CHIRPS,3,1,JJAS,0.1475230752165871,0.3074291932800035,0.3072894772267206,0.01382485926015544,0.07928733872209599,0.21303195948243236
neuralgcm,CHIRPS,3,5,JJAS,0.11470896840061577,0.14608028023860742,0.0806763128151694,0.0171109364986005,0.027184841362884297,0.12486818637043134
neuralgcm,CHIRPS,3,10,JJAS,0.06330582018629667,0.06148123292202291,-0.09667079344131135,0.010054588010730448,0.0044689089792804655,0.05778041984150084
neuralgcm,CHIRPS,3,20,JJAS,0.011196079248948512,0.010610266848156772,-0.06663053844574796,0.000725423440951524,2.5705885196786238e-05,0.010501454319245263
neuralgcm,CHIRPS,5,1,JJAS,0.13973042980361122,0.3074291932800035,0.3438466483577619,0.008430170310618152,0.08168049557173906,0.21303195948243236
neuralgcm,CHIRPS,5,5,JJAS,0.10712866494233159,0.14608028023860742,0.1411883815351762,0.011025788107911435,0.028655725246785387,0.12486818637043134
neuralgcm,CHIRPS,5,10,JJAS,0.05784442706355148,0.06148123292202291,-0.002586131272880543,0.005196441948420518,0.0050470141977082385,0.05778041984150084
neuralgcm,CHIRPS,5,20,JJAS,0.010953892868980243,0.010610266848156772,-0.04361094187803638,0.00047257000859417985,1.4591694642720833e-05,0.010501454319245263
neuralgcm,CHIRPS,7,1,JJAS,0.13827467820228082,0.3074291932800035,0.3507506226039665,0.006122750205934843,0.08084384262894097,0.21303195948243236
neuralgcm,CHIRPS,7,5,JJAS,0.10224225960997672,0.14608028023860742,0.1805395600856058,0.006194525011157001,0.028738172447162105,0.12486818637043134
neuralgcm,CHIRPS,7,10,JJAS,0.056310445053237686,0.06148123292202291,0.024256410974307197,0.0032322248701145678,0.004633770480058028,0.05778041984150084
neuralgcm,CHIRPS,7,20,JJAS,0.010815625446746394,0.010610266848156772,-0.030363240277148096,0.0003347680053806401,1.5909824625902457e-05,0.010501454319245263
neuralgcm,ERA5,1,1,JJAS,0.13296099982215753,0.3034014722916293,0.37112879243024044,0.011337378030297964,0.08976183605090472,0.2113133220062625
neuralgcm,ERA5,1,5,JJAS,0.10167082180651112,0.13865052212305556,0.1490437411983495,0.014627659759784339,0.032431464495164375,0.11945355499152757
neuralgcm,ERA5,1,10,JJAS,0.06509836972525779,0.06462889688416969,-0.0761713984811121,0.010488603839765685,0.005879621432702497,0.060508045000723695
neuralgcm,ERA5,1,20,JJAS,0.01386799142748031,0.01288304935568921,-0.0900305413092084,0.0011876730338020033,3.955588840822356e-05,0.012752529627147204
neuralgcm,ERA5,3,1,JJAS,0.13421109387153865,0.3034014722916293,0.36462777646165434,0.010980131209090683,0.08803083794895974,0.2113133220062625
neuralgcm,ERA5,3,5,JJAS,0.0971889198278975,0.13865052212305556,0.18640060637224198,0.01067247529193857,0.03293869037567926,0.11945355499152757
neuralgcm,ERA5,3,10,JJAS,0.058947611225494335,0.06462889688416969,0.02563106570266238,0.0057082523392796925,0.007259138016232898,0.060508045000723695
neuralgcm,ERA5,3,20,JJAS,0.013005038824277589,0.01288304935568921,-0.022466197906357177,0.0004290759597569945,0.00014257510534682145,0.012752529627147204
neuralgcm,ERA5,5,1,JJAS,0.12778718309950857,0.3034014722916293,0.3953608161751687,0.006169837228223992,0.08971484468530616,0.2113133220062625
neuralgcm,ERA5,5,5,JJAS,0.08961830792288847,0.13865052212305556,0.24989682357137677,0.004933881885659178,0.034784945842350694,0.11945355499152757
neuralgcm,ERA5,5,10,JJAS,0.054652147118052365,0.06462889688416969,0.09626600050304268,0.002120484043931447,0.007945351534409244,0.060508045000723695
neuralgcm,ERA5,5,20,JJAS,0.012988698293584691,0.01288304935568921,-0.021336359387914783,0.00035324575864689343,8.115320341704826e-05,0.012752529627147204
neuralgcm,ERA5,7,1,JJAS,0.12323623499675353,0.3034014722916293,0.4170033430571872,0.0036317479489544266,0.09175010965808578,0.2113133220062625
neuralgcm,ERA5,7,5,JJAS,0.08892906043644,0.13865052212305556,0.2558111468121167,0.002638611034016534,0.03319616192718346,0.11945355499152757
neuralgcm,ERA5,7,10,JJAS,0.05537962152693391,0.06462889688416969,0.08438106485022367,0.0015575103293471223,0.006663243598513441,0.060508045000723695
neuralgcm,ERA5,7,20,JJAS,0.012827285284676002,0.01288304935568921,-0.008669614220044863,0.00021868696583601381,0.00010812745363895552,0.012752529627147204
