model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,JJAS,62464,1.055136240843979
gencast,CHIRPS,3,JJAS,62464,0.9710571777851886
gencast,CHIRPS,5,JJAS,62464,0.934177591883814
gencast,CHIRPS,7,JJAS,62464,0.8725144449366518
gencast,ERA5,1,JJAS,62464,0.3354568016227671
gencast,ERA5,3,JJAS,62464,0.24631804453871772
gencast,ERA5,5,JJAS,62464,0.26070941455353086
gencast,ERA5,7,JJAS,62464,0.20425279794232243
gencast,TAMSAT,1,JJAS,62342,1.1889164035143895
gencast,TAMSAT,3,JJAS,62342,1.1195100712254327
gencast,TAMSAT,5,JJAS,62342,1.0944662870766177
gencast,TAMSAT,7,JJAS,62342,1.0237124683314844
neuralgcm,CHIRPS,1,JJAS,62464,0.930882177830737
neuralgcm,CHIRPS,3,JJAS,62464,0.6362383750704261
neuralgcm,CHIRPS,5,JJAS,62464,0.6341449458503048
neuralgcm,CHIRPS,7,JJAS,62464,0.5906823301285692
neuralgcm,ERA5,1,JJAS,62464,0.45878748021117033
neuralgcm,ERA5,3,JJAS,62464,0.2624832264148347
neuralgcm,ERA5,5,JJAS,62464,0.2067756775804439
neuralgcm,ERA5,7,JJAS,62464,0.1796857841068074
neuralgcm,TAMSAT,1,JJAS,62342,1.0853711540490762
neuralgcm,TAMSAT,3,JJAS,62342,0.752471017518816
neuralgcm,TAMSAT,5,JJAS,62342,0.7545824305164586
neuralgcm,TAMSAT,7,JJAS,62342,0.7177098687992914
