nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.2486326854331966,1.495744349761763,gencast,CHIRPS,1,annual
0.8,0.38197692424023033,2.83114737336895,gencast,CHIRPS,1,annual
0.9,0.4230077397055421,3.6112035988376117,gencast,CHIRPS,1,annual
0.5,0.2636355233194122,1.8701972269367841,gencast,CHIRPS,3,annual
0.8,0.41749646121141937,3.5240968229666723,gencast,CHIRPS,3,annual
0.9,0.46133593904138476,4.541858315862606,gencast,CHIRPS,3,annual
0.5,0.2699493630318339,2.0410561922566197,gencast,CHIRPS,5,annual
0.8,0.43477471140492063,3.901489366175594,gencast,CHIRPS,5,annual
0.9,0.48149612561057414,5.094890821273314,gencast,CHIRPS,5,annual
0.5,0.2810402071439838,2.1342368201462905,gencast,CHIRPS,7,annual
0.8,0.4569586354827174,4.109131996055331,gencast,CHIRPS,7,annual
0.9,0.5012035992632708,5.349593519675355,gencast,CHIRPS,7,annual
0.5,0.35633964012880837,1.495744349761763,gencast,ERA5,1,annual
0.8,0.5789663543260238,2.83114737336895,gencast,ERA5,1,annual
0.9,0.6542317011863631,3.6112035988376117,gencast,ERA5,1,annual
0.5,0.37850700745065297,1.8701972269367841,gencast,ERA5,3,annual
0.8,0.6075373552138256,3.5240968229666723,gencast,ERA5,3,annual
0.9,0.679041164512684,4.541858315862606,gencast,ERA5,3,annual
0.5,0.37616448555607046,2.0410561922566197,gencast,ERA5,5,annual
0.8,0.6084274420238551,3.901489366175594,gencast,ERA5,5,annual
0.9,0.6806577866512614,5.094890821273314,gencast,ERA5,5,annual
0.5,0.3890630887012671,2.1342368201462905,gencast,ERA5,7,annual
0.8,0.6254153953697168,4.109131996055331,gencast,ERA5,7,annual
0.9,0.6947223063420832,5.349593519675355,gencast,ERA5,7,annual
0.5,0.24881811130279693,1.4124618323270663,neuralgcm,CHIRPS,1,annual
0.8,0.42741118978912984,2.6033954013206126,neuralgcm,CHIRPS,1,annual
0.9,0.4721510389828759,3.2998558446059403,neuralgcm,CHIRPS,1,annual
0.5,0.3384240913568744,1.9269296563167815,neuralgcm,CHIRPS,3,annual
0.8,0.5296883071368819,3.4435173405198314,neuralgcm,CHIRPS,3,annual
0.9,0.570989299446261,4.259930448001922,neuralgcm,CHIRPS,3,annual
0.5,0.3358420403427943,1.8747305941975847,neuralgcm,CHIRPS,5,annual
0.8,0.5280225084624535,3.4096537529075954,neuralgcm,CHIRPS,5,annual
0.9,0.5697008125053845,4.227178553806118,neuralgcm,CHIRPS,5,annual
0.5,0.3349695860982091,2.123558671152706,neuralgcm,CHIRPS,7,annual
0.8,0.535195527785308,3.879255967821478,neuralgcm,CHIRPS,7,annual
0.9,0.5783511560448256,4.846930021809009,neuralgcm,CHIRPS,7,annual
0.5,0.3246666989631908,1.4124618323270663,neuralgcm,ERA5,1,annual
0.8,0.5342078710738482,2.6033954013206126,neuralgcm,ERA5,1,annual
0.9,0.6005698587219306,3.2998558446059403,neuralgcm,ERA5,1,annual
0.5,0.3895047300123217,1.9269296563167815,neuralgcm,ERA5,3,annual
0.8,0.6063156313547492,3.4435173405198314,neuralgcm,ERA5,3,annual
0.9,0.6650934446612532,4.259930448001922,neuralgcm,ERA5,3,annual
0.5,0.3865031527610829,1.8747305941975847,neuralgcm,ERA5,5,annual
0.8,0.6078736500239716,3.4096537529075954,neuralgcm,ERA5,5,annual
0.9,0.6689072451181506,4.227178553806118,neuralgcm,ERA5,5,annual
0.5,0.3922494513515561,2.123558671152706,neuralgcm,ERA5,7,annual
0.8,0.6242720703541541,3.879255967821478,neuralgcm,ERA5,7,annual
0.9,0.6871410415740079,4.846930021809009,neuralgcm,ERA5,7,annual
