model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,annual,183808,1.7634486555011637,5.746766850514306,3.128873782883363,0.5444581038820715
gencast,CHIRPS,3,annual,183808,1.559610990534679,4.938733555498069,3.6621908946263795,0.7415242902807396
gencast,CHIRPS,5,annual,183808,1.567405579942009,5.042404182568456,4.190237028514559,0.8309998319849428
gencast,CHIRPS,7,annual,183808,1.5579385894841649,5.015773912490833,4.288614677607432,0.8550255159881611
gencast,ERA5,1,annual,183808,1.0780099274898887,4.160907995600082,3.128873782883363,0.7519689899877539
gencast,ERA5,3,annual,183808,1.1007878785521148,3.981559872407954,3.6621908946263795,0.9197879755633493
gencast,ERA5,5,annual,183808,1.1510264500244634,4.176704675140384,4.190237028514559,1.0032399593523382
gencast,ERA5,7,annual,183808,1.2030195576889389,4.318526778658204,4.288614677607432,0.9930735404493507
neuralgcm,CHIRPS,1,annual,183808,1.909924655107866,5.186446438511674,2.096032619497288,0.404136559462624
neuralgcm,CHIRPS,3,annual,183808,1.6995204263779156,4.948404512181696,2.720542024159107,0.5497816553723193
neuralgcm,CHIRPS,5,annual,183808,1.6267912508698013,4.818277479578467,2.7186983894779604,0.5642469536054634
neuralgcm,CHIRPS,7,annual,183808,1.627743837425118,4.8535811332033205,3.1103266456571372,0.6408312873106026
neuralgcm,ERA5,1,annual,183808,1.5699047497137424,4.6943688474497405,2.096032619497288,0.4464993458355913
neuralgcm,ERA5,3,annual,183808,1.4622620996822753,4.5902353210970865,2.720542024159107,0.5926802949851568
neuralgcm,ERA5,5,annual,183808,1.4225521549548155,4.551725313690721,2.7186983894779604,0.5972896434019501
neuralgcm,ERA5,7,annual,183808,1.4357420669426868,4.614674423235603,3.1103266456571372,0.6740078194890975
