model,obs,lead_day,crps_model,crps_climatology,crpss
fourcastnet,CHIRPS,1,2.6633,1.9903,-0.3382
gencast,CHIRPS,1,2.2476,1.9903,-0.1293
graphcast,CHIRPS,1,3.1445,1.9903,-0.5799
neuralgcm,CHIRPS,1,2.4986,1.9903,-0.2554
fourcastnet,CHIRPS,3,2.6817,1.9782,-0.3556
gencast,CHIRPS,3,2.016,1.9782,-0.0191
graphcast,CHIRPS,3,3.0851,1.9782,-0.5596
neuralgcm,CHIRPS,3,2.2269,1.9782,-0.1257
fourcastnet,CHIRPS,5,2.6825,1.9551,-0.372
gencast,CHIRPS,5,1.9977,1.9551,-0.0218
graphcast,CHIRPS,5,3.4953,1.9551,-0.7878
neuralgcm,CHIRPS,5,2.1571,1.9551,-0.1033
fourcastnet,CHIRPS,7,2.7485,1.9494,-0.4099
gencast,CHIRPS,7,2.0094,1.9494,-0.0308
graphcast,CHIRPS,7,4.0087,1.9494,-1.0564
neuralgcm,CHIRPS,7,2.2075,1.9494,-0.1324
