model,obs,lead_day,threshold_mm_day,expected_calibration_error
gencast,CHIRPS,1,1,0.14080545176630435
gencast,CHIRPS,1,5,0.1041907269021739
gencast,CHIRPS,1,10,0.06776919157608696
gencast,CHIRPS,1,20,0.02756029211956522
gencast,CHIRPS,3,1,0.11485648777173914
gencast,CHIRPS,3,5,0.07744777513586956
gencast,CHIRPS,3,10,0.051817255434782605
gencast,CHIRPS,3,20,0.02118928328804348
gencast,CHIRPS,5,1,0.10542416779891305
gencast,CHIRPS,5,5,0.06945057744565218
gencast,CHIRPS,5,10,0.047112771739130435
gencast,CHIRPS,5,20,0.02248641304347826
gencast,CHIRPS,7,1,0.1018660835597826
gencast,CHIRPS,7,5,0.06935079823369565
gencast,CHIRPS,7,10,0.04675399116847826
gencast,CHIRPS,7,20,0.021845278532608696
gencast,ERA5,1,1,0.06115372670807454
gencast,ERA5,1,5,0.045083850931677015
gencast,ERA5,1,10,0.03266614906832298
gencast,ERA5,1,20,0.01620962732919255
gencast,ERA5,3,1,0.04051863354037268
gencast,ERA5,3,5,0.036434782608695655
gencast,ERA5,3,10,0.027201863354037265
gencast,ERA5,3,20,0.014416149068322982
gencast,ERA5,5,1,0.0356832298136646
gencast,ERA5,5,5,0.030628881987577634
gencast,ERA5,5,10,0.026454968944099377
gencast,ERA5,5,20,0.015358695652173912
gencast,ERA5,7,1,0.034403726708074525
gencast,ERA5,7,5,0.02879192546583851
gencast,ERA5,7,10,0.025959627329192547
gencast,ERA5,7,20,0.01667391304347826
