spread_bin,n,mean_spread,rmse,obs,lead_day
"(-0.001, 0.00664]",5888,0.0026137957086223578,0.4495743260063339,CHIRPS,1
"(0.00664, 0.0359]",5888,0.01779224308118585,1.3473906222850411,CHIRPS,1
"(0.0359, 0.137]",5888,0.07733927645290421,1.9465686810241465,CHIRPS,1
"(0.137, 0.36]",5888,0.23385645442126918,2.6988590505980596,CHIRPS,1
"(0.36, 0.921]",5888,0.5929608604645766,4.070972876636341,CHIRPS,1
"(0.921, 2.166]",5888,1.4795891139776283,5.8178876363651435,CHIRPS,1
"(2.166, 4.24]",5888,3.117693483789418,7.6074530441655455,CHIRPS,1
"(4.24, 68.701]",5888,7.503934256113357,15.794915243126253,CHIRPS,1
"(-0.001, 0.00815]",5888,0.0030693581466650598,0.36139461004871243,CHIRPS,3
"(0.00815, 0.0545]",5888,0.02570757660370763,1.1427495343687173,CHIRPS,3
"(0.0545, 0.218]",5888,0.1232388976917435,1.9613852474689597,CHIRPS,3
"(0.218, 0.605]",5888,0.3837528129631447,3.2191251175264877,CHIRPS,3
"(0.605, 1.571]",5888,1.0263117009923075,4.459857688510672,CHIRPS,3
"(1.571, 3.049]",5888,2.276628735013887,5.895840176457173,CHIRPS,3
"(3.049, 5.179]",5888,4.0274386829948625,7.148573535919938,CHIRPS,3
"(5.179, 74.059]",5888,9.11550289440496,12.416571736349248,CHIRPS,3
"(-0.001, 0.0105]",5888,0.0037306542916614063,0.4331575873226946,CHIRPS,5
"(0.0105, 0.0789]",5888,0.03543887347156086,1.191785152310131,CHIRPS,5
"(0.0789, 0.299]",5888,0.1748629230316479,2.17170371459079,CHIRPS,5
"(0.299, 0.805]",5888,0.5142273353083496,2.8768393225036615,CHIRPS,5
"(0.805, 2.007]",5888,1.3433086920270554,4.678768121690158,CHIRPS,5
"(2.007, 3.65]",5888,2.7937775833355514,5.760982929165595,CHIRPS,5
"(3.65, 6.027]",5888,4.737411763823633,7.712764620474532,CHIRPS,5
"(6.027, 97.279]",5888,10.073048067085498,12.007449770634816,CHIRPS,5
"(-0.001, 0.0102]",5888,0.0038160743485624914,0.7522871371662421,CHIRPS,7
"(0.0102, 0.0799]",5888,0.03630575019231601,1.8999495061638856,CHIRPS,7
"(0.0799, 0.312]",5888,0.18090489048665948,2.9800000018026944,CHIRPS,7
"(0.312, 0.87]",5888,0.5510579145906922,3.3803122167673125,CHIRPS,7
"(0.87, 2.035]",5888,1.4005860660788603,4.986061386802884,CHIRPS,7
"(2.035, 3.471]",5888,2.7328384372672048,6.239768209502601,CHIRPS,7
"(3.471, 5.501]",5888,4.388189250698655,7.09322157620689,CHIRPS,7
"(5.501, 71.664]",5888,9.296536675406745,11.24067041195153,CHIRPS,7
"(-0.001, 0.0102]",8050,0.003733453245098865,0.052678813854909204,ERA5,1
"(0.0102, 0.0653]",8050,0.03141928445078104,0.3130510133805694,ERA5,1
"(0.0653, 0.22]",8050,0.13406579712658862,0.8099032755023875,ERA5,1
"(0.22, 0.515]",8050,0.35056592602754405,1.3842514994843313,ERA5,1
"(0.515, 1.201]",8050,0.8103099035797264,2.3418267097077106,ERA5,1
"(1.201, 2.465]",8050,1.7806590446210437,4.086199083669721,ERA5,1
"(2.465, 4.488]",8050,3.375413727055262,5.896401616211805,ERA5,1
"(4.488, 68.701]",8050,8.1882986463271,14.234266350647616,ERA5,1
"(-0.001, 0.0141]",8050,0.004693181621038762,0.06474595674909461,ERA5,3
"(0.0141, 0.11]",8050,0.04981955398552471,0.43399588100987285,ERA5,3
"(0.11, 0.388]",8050,0.23461840362057954,1.4767068135964865,ERA5,3
"(0.388, 0.935]",8050,0.621359922963995,1.9178899607746982,ERA5,3
"(0.935, 2.11]",8050,1.4831789097949981,4.001806828287386,ERA5,3
"(2.11, 3.722]",8050,2.877408579809773,5.642023256622038,ERA5,3
"(3.722, 6.146]",8050,4.803936464382944,7.311587108123449,ERA5,3
"(6.146, 120.26]",8050,11.841890534772709,15.294350101416299,ERA5,3
"(-0.001, 0.018]",8050,0.005696874944912094,0.09920976500634918,ERA5,5
"(0.018, 0.157]",8050,0.06974925079388183,0.5751398058826017,ERA5,5
"(0.157, 0.513]",8050,0.3178818949885496,1.4770027844409113,ERA5,5
"(0.513, 1.267]",8050,0.8308186940939198,2.560661414762579,ERA5,5
"(1.267, 2.713]",8050,1.9641322268574881,3.7762363484300128,ERA5,5
"(2.713, 4.455]",8050,3.5559280670260205,5.512885085769835,ERA5,5
"(4.455, 6.949]",8050,5.5903646173600015,7.538079441698292,ERA5,5
"(6.949, 116.755]",8050,12.143105270532718,16.40405555438572,ERA5,5
"(-0.001, 0.0182]",8050,0.005694902623317915,0.2489387425034496,ERA5,7
"(0.0182, 0.166]",8050,0.07308313772958737,1.9382126707366136,ERA5,7
"(0.166, 0.55]",8050,0.3419812519527816,2.0951153461971312,ERA5,7
"(0.55, 1.309]",8050,0.8760194882239062,2.699849740968488,ERA5,7
"(1.309, 2.66]",8050,1.9635423040756712,4.583591153033509,ERA5,7
"(2.66, 4.264]",8050,3.4275429775501642,5.956148446134668,ERA5,7
"(4.264, 6.763]",8050,5.359161434588301,7.691038885989692,ERA5,7
"(6.763, 99.802]",8050,12.643059553062834,16.247197166144296,ERA5,7
