model,obs,lead_day,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,47104,2.2476427249265076,6.808621065025531,1.628217073023227,0.23914050399823822
gencast,CHIRPS,3,47104,2.016008209532807,5.869256432323822,2.122681970857847,0.3616611397599833
gencast,CHIRPS,5,47104,1.9977269881584916,5.84541430314217,2.459503696666492,0.42075780588287803
gencast,CHIRPS,7,47104,2.0093651970434623,5.754604145452116,2.323444468682047,0.4037540046118156
gencast,ERA5,1,64400,1.6372004872166068,5.725291682183566,1.8343060643093978,0.3203864826690913
gencast,ERA5,3,64400,1.8450438297139555,6.531507875605101,2.739510626601321,0.41943004261439765
gencast,ERA5,5,64400,1.9398387920145106,6.888973669614757,3.0598564866551787,0.4441672494919393
gencast,ERA5,7,64400,2.0139064314517436,7.0273839554757656,3.086020201944214,0.43914210771699397
neuralgcm,CHIRPS,1,47104,2.4986263910033526,6.048051975208959,1.3099512482641429,0.21659060696463084
neuralgcm,CHIRPS,3,47104,2.2269030699121077,5.737185178145102,1.789074127848816,0.31183830960590403
neuralgcm,CHIRPS,5,47104,2.1571156005762115,5.651281918171023,1.8309152650260219,0.3239822913698452
neuralgcm,CHIRPS,7,47104,2.20748906484013,5.771330607770748,2.3132433364997023,0.4008162924135831
neuralgcm,ERA5,1,64400,2.5978446220608538,7.2412732767457175,1.5123797132965204,0.20885549481377882
neuralgcm,ERA5,3,64400,2.396286177410133,7.473567622370536,2.2244055040569926,0.297636365448639
neuralgcm,ERA5,5,64400,2.3437201505344496,7.420357626847663,2.512993226265401,0.33866200965477966
neuralgcm,ERA5,7,64400,2.3262143662310137,7.194614866242454,2.883896586671015,0.400840995701163
