model,truth,lead_day,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,3.5058,6.8086,0.5149
gencast,CHIRPS,3,4.4527,5.8693,0.7586
gencast,CHIRPS,5,4.9238,5.8454,0.8423
gencast,CHIRPS,7,4.4949,5.7546,0.7811
neuralgcm,CHIRPS,1,2.0774,6.0481,0.3435
neuralgcm,CHIRPS,3,2.7595,5.7372,0.481
neuralgcm,CHIRPS,5,2.8492,5.6513,0.5042
neuralgcm,CHIRPS,7,3.4973,5.7713,0.606
gencast,TAMSAT,1,3.5891,7.4128,0.4842
gencast,TAMSAT,3,4.6133,6.4461,0.7157
gencast,TAMSAT,5,5.0194,6.3998,0.7843
gencast,TAMSAT,7,4.6719,6.234,0.7494
neuralgcm,TAMSAT,1,2.1391,6.6019,0.324
neuralgcm,TAMSAT,3,2.8873,6.3461,0.455
neuralgcm,TAMSAT,5,3.0605,6.1408,0.4984
neuralgcm,TAMSAT,7,3.6226,6.1457,0.5895
